Scalar,ROI,Modality,Median,1-Percentile,25-Percentile,75-Percentile,99-Percentile,Mean,Std,Max,Min
dxy,CSF,pc-bssfp,0.45043248185632834,0.29440896470113004,0.40374527817599404,0.5424820947995257,0.8464457249797508,0.48284028597885154,0.1321113660982394,0.8889823872210637,0.2935952969421466
dxy,CSF,t1w,0.3566866828716086,0.2281910511476054,0.3257457020086166,0.49158533959987166,0.861903557253122,0.4197979927325548,0.1515374771498013,0.861903557253122,0.2281910511476054
dxy,GM,bssfp,0.4803185911075004,0.3407935974133158,0.41510341079254437,0.6219109666696231,3.256946990193464,0.6683319054440576,0.6160751705743995,4.502031385077325,0.3366219047925983
dxy,GM,dwi-tensor,0.2534131141526575,0.1354707308305234,0.16338186464850515,0.3840634659199387,1.8953241119608628,0.34878482883274714,0.3580675914160913,1.8953241119608628,0.1354707308305234
dxy,GM,pc-bssfp,0.48986676664036877,0.3865246261663284,0.4403929988663152,0.6193665683529036,3.495731666806752,0.6518049531025698,0.5352593751973767,3.585628832037572,0.3699407294523653
dxy,GM,t1w,0.4398802808809963,0.2353926347410148,0.4002127165754974,0.5320917571391646,5.822231818036671,0.7186515877698096,1.10939251275964,5.822231818036671,0.2353926347410148
dxy,WM,bssfp,1.5958515707373366,1.0148597041662368,1.2513240698439343,2.045855735351398,5.089429886406887,1.9119064250801046,0.9718298216948326,5.570423599875873,0.98609828947468
dxy,WM,dwi-tensor,0.6243854856435728,0.4168963434285379,0.528986911551072,1.1846384739591391,3.899336297342302,0.9897663051839728,0.7526057429220454,3.899336297342302,0.4168963434285379
dxy,WM,pc-bssfp,1.7113495910305427,1.0961928257890463,1.390940510868478,2.2655498681878736,8.589957753081695,2.2587256494436954,1.4923118545877185,9.133463010638518,1.0942484003954014
dxy,WM,t1w,1.6151415678595922,0.8656921294946628,1.105054094083247,2.254041941414336,7.270306922191223,1.9820217729277094,1.4274622845626224,7.270306922191223,0.8656921294946628
dxz,CSF,bssfp,0.4050853879732954,0.30201422597557187,0.34902327065454064,0.5156161390199067,1.54628752995388,0.4749861471315944,0.2239675952373553,1.7381827521443034,0.2939092927702069
dxz,CSF,dwi-tensor,0.17637836396686318,0.1111535474001243,0.14310676477393527,0.308685800693725,0.7477101481360582,0.2395316004092557,0.14303632969481658,0.7477101481360582,0.1111535474001243
dxz,CSF,pc-bssfp,0.422443614852768,0.2904812873611372,0.37296810256103496,0.5324986198130304,1.250565953710473,0.5156561912230063,0.2416824309128131,1.511439349687126,0.2869342419269153
dxz,CSF,t1w,0.3909502218703921,0.2130534368892036,0.2760998074723855,0.520921455921482,1.9422003652786008,0.4805516501486263,0.3420181848422996,1.9422003652786008,0.2130534368892036
dxz,GM,bssfp,0.44916272088528186,0.3089128299944639,0.4110918608341001,0.5353807796344314,2.73957323728157,0.5502833466357127,0.3938733299997727,2.9817345512347795,0.3074725400118772
dxz,GM,dwi-tensor,0.1928913477529508,0.1278236702610788,0.15188020663453441,0.24580578910120088,0.8694963690400056,0.23993586144039128,0.15411894705863716,0.8694963690400056,0.1278236702610788
dxz,GM,pc-bssfp,0.4495275143779851,0.32525361706894346,0.40764990870219026,0.5115868025527954,4.522095098980122,0.5820979844080335,0.69265487700378,5.031621533037672,0.3207449541952151
dxz,GM,t1w,0.44197626900696724,0.2174174805218498,0.31662738238432686,0.5106368611920008,3.63628051604948,0.5371943903472798,0.5606736396558596,3.63628051604948,0.2174174805218498
