modality,pred_id,roi,ad,azimuth,dxx,dxy,dxz,dyy,dyz,dzz,fa,inclination,md,rd,ses,sub
pc-bssfp,11,CSF,1539971240536.3638,14.151176382009726,0.2364050548236193,46.315075924728085,41.359779575024426,0.2361542066167946,72.85138229713958,0.2368421640873319,2.830906661346389,0.9896032833809149,0.2318414611876812,0.2697994850925812,1.0,42.0
pc-bssfp,11,GM,2999599443273.5464,7.002680297800596,0.2490714039935823,30.056616411069207,42.12233721069428,0.2470502437582802,37.99440278829822,0.2416674318904521,2.5160901275595235,1.1014774848611664,0.2399223359168497,0.3051395105491438,1.0,42.0
pc-bssfp,11,WM,1287607305012.718,5.805287017476662,0.2631678443966451,23.56841523732896,17.764719717521142,0.2969536767360686,16.06505822607928,0.3032740480649464,0.9773565767503766,1.4540561705757886,0.2852840001727576,0.3117308689199376,1.0,42.0
pc-bssfp,12,CSF,0.2068372261507867,3.5620759992419293,0.067239792190532,0.0584510497808452,0.0577954967491709,0.0672253829841867,0.0605369310365285,0.065344617661994,2.783368927125281,1.0586786405078938,0.3209432110791571,0.3700943835092736,2.0,42.0
pc-bssfp,12,GM,0.196141450776815,4.99537105372784,0.0627029991361337,0.0912880830964873,0.1034904284905068,0.061720433821335,0.084445764732799,0.0603064817177709,2.504505197484822,1.1153258831355124,0.306102306530882,0.4219463058606101,2.0,42.0
pc-bssfp,12,WM,0.2682942665886206,5.146124322731827,0.0588532809874237,0.0801972491576552,0.0777525829999563,0.0675436820488186,0.0780270714176923,0.0689575441306941,1.0498838912636732,1.454426107380299,0.3278735894284491,0.3428185469702786,2.0,42.0
pc-bssfp,13,CSF,0.1771859083364886,3.5596211711724304,0.0607453207926633,0.05919008137837,0.0585207190922753,0.0604479622685432,0.0613022876874551,0.0588579764445826,2.9018189868139754,1.0630001222952528,0.296181344837983,0.3501785643870713,2.0,42.0
pc-bssfp,13,GM,0.1775376720663291,5.127707321443511,0.0600418352259103,0.0919157073837699,0.1040073795609333,0.0582270932942102,0.0851589289420131,0.057883342724313,2.6128186046637305,1.115049427161979,0.293011321873425,0.4132747513599721,2.0,42.0
pc-bssfp,13,WM,0.2641597461491502,5.286135071506619,0.0579728472344024,0.0810012496395062,0.0784278170768786,0.0672093376377658,0.0787920102102306,0.0684260900572667,1.0741839269322175,1.5422920637815274,0.3238614059511706,0.3417240575426552,2.0,42.0
pc-bssfp,14,CSF,0.213790751892656,3.560675137363104,0.9522846284694232,54.16876718165143,28.82909752745488,0.2801358665201857,35.49673764502021,0.2730153299725337,2.641050216379791,1.0562017215403223,0.3209711328811988,0.3680262263870195,2.0,42.0
