Scalar,ROI,Modality,Median,1-Percentile,25-Percentile,75-Percentile,99-Percentile,Mean,Std,Max,Min
dzz,WM,dwi-tensor,0.0631800365832299,0.0178457373018353,0.0290408429479502,0.10945860078969094,0.2134035248162217,0.07947688389376585,0.05765094608935101,0.2137786046552204,0.0178457373018353
dzz,WM,pc-bssfp,0.0794394604463491,0.023616362860195014,0.036392600420045426,0.11591437481389322,0.18204435219312645,0.08441259156626213,0.07688401311282027,0.7132555466330869,0.0229170500152175
dzz,WM,t1w,0.0821499274564696,0.02072727505196225,0.0353591192568093,0.12895673393289228,0.2751906155463456,0.09722923849451158,0.09888835583082181,0.8916684736845513,0.0202453242984434
fa,CSF,bssfp,0.24139527884214834,0.14638281341702336,0.21157467374114158,0.25621143695745097,0.3064779243734509,0.2333925097704211,0.03783126229842357,0.3068642003425118,0.1450625017309272
fa,CSF,dwi-tensor,0.1171113808762779,0.0764981008714645,0.10532514099378454,0.1600140298320223,0.3532691140677748,0.1472918584161377,0.07278956162081784,0.3532691140677748,0.0764981008714645
fa,CSF,pc-bssfp,0.27170249329261054,0.1524677748328529,0.2173405156608797,0.34276478706297697,0.44122143490732774,0.2824257980511676,0.07836802670839067,0.4419527291387905,0.1494940530986165
fa,CSF,t1w,0.18922246014072253,0.1315290390741499,0.16006261791565146,0.23906840914238944,0.3900568142389683,0.21574265461100633,0.0738964089204712,0.3900568142389683,0.1315290390741499
fa,GM,bssfp,0.2154814065278641,0.14215231674063714,0.17878482604318013,0.23516420477119387,0.38124440131686427,0.221860716084517,0.06106459460314792,0.3815382529370192,0.1404468027834124
fa,GM,dwi-tensor,0.12106751083119585,0.0855106649171321,0.09475664410632409,0.21177826487788737,0.4244557463219383,0.16919444912870943,0.09758904712454285,0.4244557463219383,0.0855106649171321
fa,GM,pc-bssfp,0.23950544146766223,0.14640352642561164,0.19034081800359653,0.30325297208342256,0.3833675263387753,0.24436274587297668,0.06866698530453144,0.3842636784307295,0.1448767043119334
fa,GM,t1w,0.15617916202608173,0.1213220463898578,0.13851248026903784,0.24020180204249317,0.4968969813700112,0.21486128614174213,0.1199372086030813,0.4968969813700112,0.1213220463898578
fa,WM,bssfp,0.1704746461433294,0.14635086622568588,0.16447933597730865,0.2359442994725168,0.4256569262671679,0.209508325458612,0.0757763676194517,0.427963345095022,0.144911874802698
fa,WM,dwi-tensor,0.1558942013262306,0.0927716152625298,0.11190017740911229,0.246006498920202,0.3984563275067208,0.18385776877326765,0.0869731838786786,0.3984563275067208,0.0927716152625298
fa,WM,pc-bssfp,0.21212063753830046,0.15271945985565566,0.18216194004305244,0.2461856409405286,0.3074690564473815,0.2167518331879668,0.04398436659585424,0.3083106659436346,0.1489346945694429
fa,WM,t1w,0.149979352829727,0.1145403272386179,0.13160521901151448,0.21349102436894568,0.4903416178596079,0.20317162034493316,0.1126689150407556,0.4903416178596079,0.1145403272386179
md,CSF,bssfp,0.1611932397792738,0.09848161901041638,0.13621282862901715,0.19321300158511157,0.4297966916497249,0.176414849000459,0.06778071654338022,0.4412724999168836,0.0974913134360977
md,CSF,dwi-tensor,0.06696065904825699,0.0451866622996196,0.05824377477661327,0.09229449453314348,0.1125365312676817,0.07442910282698732,0.019763572356355973,0.1125365312676817,0.0451866622996196
